item,layer,cluster,condition,sample,name_shown,shown_clusters,true_pos,scores,pm,top1
L0C31,0,31,gold,2,Faculty-Sponsored CPT Employment Reporting,"[84, 31, 14, 299, 30]",1,"[5, 95, 60, 3, 55]",0.43577981651376146,True
L0C31,0,31,shuffled,0,British Novel Genre And Theory,"[299, 30, 84, 31, 14]",3,"[2, 3, 3, 3, 2]",0.23076923076923078,False
L0C31,0,31,gimme,0,Faculty-Sponsored CPT Employment Reporting,"[31, 122, 90, 149, 144]",0,"[97, 2, 2, 2, 3]",0.9150943396226415,True
L0C57,0,57,gold,0,Physical Education Swimming and Horsemanship,"[57, 58, 71, 63, 64]",0,"[98, 10, 0, 15, 10]",0.7368421052631579,True
L0C57,0,57,gold,1,Physical Education Swimming and Horsemanship,"[58, 63, 71, 57, 64]",3,"[15, 30, 0, 95, 25]",0.5757575757575758,True
L0C57,0,57,gold,2,Physical Education Swimming and Horsemanship,"[63, 57, 64, 71, 58]",1,"[20, 95, 15, 0, 10]",0.6785714285714286,True
L0C57,0,57,shuffled,0,Sociology Research Training Seminars,"[58, 71, 64, 57, 63]",3,"[2, 75, 3, 2, 3]",0.023529411764705882,False
L0C57,0,57,gimme,0,Physical Education Swimming and Horsemanship,"[89, 205, 57, 96, 3]",2,"[2, 1, 98, 1, 1]",0.9514563106796117,True
L0C61,0,61,gold,0,Faculty-Supervised Doctoral Dissertation Research,"[73, 21, 74, 56, 61]",4,"[30, 95, 10, 20, 40]",0.20512820512820512,False
L0C61,0,61,gold,1,Faculty-Supervised Doctoral Dissertation Research,"[73, 21, 61, 56, 74]",2,"[30, 92, 40, 15, 5]",0.21978021978021978,False
L0C61,0,61,gold,2,Faculty-Supervised Doctoral Dissertation Research,"[56, 61, 73, 74, 21]",1,"[15, 45, 20, 5, 88]",0.26011560693641617,False
L0C61,0,61,shuffled,0,Plasma Physics And High-Temperature Gas Diagnostics,"[73, 74, 21, 56, 61]",4,"[15, 5, 10, 10, 10]",0.2,False
L0C61,0,61,gimme,0,Faculty-Supervised Doctoral Dissertation Research,"[326, 87, 195, 333, 61]",4,"[5, 3, 2, 15, 85]",0.7727272727272727,True
L0C86,0,86,gold,0,Diagnostic Radiology And Radiation Oncology,"[92, 87, 224, 200, 86]",4,"[10, 45, 5, 10, 90]",0.5625,True
L0C86,0,86,gold,1,Diagnostic Radiology And Radiation Oncology,"[92, 200, 86, 224, 87]",2,"[10, 5, 92, 3, 35]",0.6344827586206897,True
L0C86,0,86,gold,2,Diagnostic Radiology And Radiation Oncology,"[87, 92, 86, 200, 224]",2,"[60, 10, 92, 5, 5]",0.5348837209302325,True
L0C86,0,86,shuffled,0,"Social Movements, Migration, Racial Politics","[86, 224, 87, 92, 200]",0,"[2, 2, 2, 2, 3]",0.18181818181818182,False
L0C86,0,86,gimme,0,Diagnostic Radiology And Radiation Oncology,"[341, 95, 86, 294, 66]",2,"[0, 0, 98, 0, 0]",1.0,True
L0C93,0,93,gold,0,Chemical Engineering Curriculum And Research,"[135, 107, 117, 134, 93]",4,"[10, 15, 15, 5, 97]",0.6830985915492958,True
L0C93,0,93,gold,1,Chemical Engineering Curriculum And Research,"[135, 107, 93, 117, 134]",2,"[10, 15, 95, 10, 5]",0.7037037037037037,True
L0C93,0,93,gold,2,Chemical Engineering Curriculum And Research,"[93, 135, 134, 117, 107]",0,"[95, 10, 5, 5, 8]",0.7723577235772358,True
L0C93,0,93,shuffled,0,Vietnamese and Khmer Language Sequences,"[135, 134, 117, 93, 107]",3,"[5, 3, 10, 5, 5]",0.17857142857142858,False
L0C93,0,93,gimme,0,Chemical Engineering Curriculum And Research,"[120, 119, 52, 93, 326]",3,"[2, 2, 1, 98, 1]",0.9423076923076923,True
L0C99,0,99,gold,0,Laboratory Animal Science And Medicine,"[179, 182, 99, 166, 153]",2,"[10, 10, 95, 15, 5]",0.7037037037037037,True
L0C99,0,99,gold,1,Laboratory Animal Science And Medicine,"[182, 166, 179, 99, 153]",3,"[10, 15, 10, 95, 5]",0.7037037037037037,True
L0C99,0,99,gold,2,Laboratory Animal Science And Medicine,"[182, 179, 153, 99, 166]",3,"[15, 10, 8, 95, 12]",0.6785714285714286,True
L0C99,0,99,shuffled,0,Shipboard Oceanography and Estuarine Biogeochemistry,"[99, 153, 182, 179, 166]",0,"[10, 5, 8, 8, 15]",0.21739130434782608,False
L0C99,0,99,gimme,0,Laboratory Animal Science And Medicine,"[70, 148, 75, 96, 99]",4,"[2, 3, 2, 2, 98]",0.9158878504672897,True
L0C106,0,106,gold,0,Clinical Neuroscience Of Stress Sleep Psychopathology,"[121, 114, 106, 105, 122]",2,"[15, 25, 85, 20, 15]",0.53125,True
L0C106,0,106,gold,1,Clinical Neuroscience Of Stress Sleep Psychopathology,"[121, 106, 105, 122, 114]",1,"[15, 85, 30, 20, 25]",0.4857142857142857,True
L0C106,0,106,gold,2,Clinical Neuroscience Of Stress Sleep Psychopathology,"[106, 122, 114, 121, 105]",0,"[90, 15, 30, 20, 25]",0.5,True
L0C106,0,106,shuffled,0,Construction Engineering And Project Management,"[106, 105, 122, 114, 121]",0,"[5, 10, 5, 3, 3]",0.19230769230769232,False
L0C106,0,106,gimme,0,Clinical Neuroscience Of Stress Sleep Psychopathology,"[4, 106, 286, 117, 223]",1,"[0, 95, 2, 0, 0]",0.979381443298969,True
L0C134,0,134,gold,0,Mechanical Design And Product Realization,"[141, 134, 118, 93, 135]",1,"[25, 95, 0, 5, 15]",0.6785714285714286,True
L0C134,0,134,gold,1,Mechanical Design And Product Realization,"[134, 93, 135, 141, 118]",0,"[95, 10, 20, 30, 5]",0.59375,True
L0C134,0,134,gold,2,Mechanical Design And Product Realization,"[93, 134, 135, 118, 141]",1,"[3, 95, 5, 2, 20]",0.76,True
L0C134,0,134,shuffled,0,Negotiation Strategy And Conflict Management,"[135, 134, 118, 93, 141]",1,"[15, 10, 10, 10, 15]",0.16666666666666666,False
L0C134,0,134,gimme,0,Mechanical Design And Product Realization,"[282, 91, 134, 70, 337]",2,"[2, 5, 98, 1, 1]",0.9158878504672897,True
L0C150,0,150,gold,0,Community-Partnered Data Science Capstone Teams,"[154, 150, 78, 151, 177]",1,"[10, 85, 40, 20, 5]",0.53125,True
L0C150,0,150,gold,1,Community-Partnered Data Science Capstone Teams,"[78, 177, 151, 154, 150]",4,"[40, 5, 25, 15, 85]",0.5,True
L0C150,0,150,gold,2,Community-Partnered Data Science Capstone Teams,"[177, 78, 150, 154, 151]",2,"[5, 30, 90, 10, 15]",0.6,True
L0C150,0,150,shuffled,0,Introductory Drawing Painting Sculpture Studios,"[154, 177, 150, 78, 151]",2,"[5, 8, 10, 5, 8]",0.2777777777777778,True
L0C150,0,150,gimme,0,Community-Partnered Data Science Capstone Teams,"[6, 150, 11, 105, 279]",1,"[2, 97, 2, 3, 1]",0.9238095238095239,True
L0C163,0,163,gold,0,"Structural Geology, Tectonics, Geophysics","[163, 126, 133, 162, 125]",0,"[75, 5, 40, 30, 15]",0.45454545454545453,True
L0C163,0,163,gold,1,"Structural Geology, Tectonics, Geophysics","[162, 133, 163, 126, 125]",2,"[15, 30, 80, 5, 25]",0.5161290322580645,True
L0C163,0,163,gold,2,"Structural Geology, Tectonics, Geophysics","[162, 163, 133, 126, 125]",1,"[15, 80, 40, 5, 20]",0.5,True
L0C163,0,163,shuffled,0,Aeronautics And Astronautics Engineering,"[126, 162, 133, 163, 125]",3,"[10, 55, 15, 10, 15]",0.09523809523809523,False
L0C163,0,163,gimme,0,"Structural Geology, Tectonics, Geophysics","[68, 354, 171, 65, 163]",4,"[0, 0, 0, 0, 98]",1.0,True
L0C171,0,171,gold,0,Epidemiologic Study Design and Methods,"[167, 171, 217, 216, 170]",1,"[10, 92, 8, 15, 55]",0.5111111111111111,True
L0C171,0,171,gold,1,Epidemiologic Study Design and Methods,"[170, 216, 171, 167, 217]",2,"[45, 10, 92, 15, 8]",0.5411764705882353,True
L0C171,0,171,gold,2,Epidemiologic Study Design and Methods,"[167, 170, 171, 216, 217]",2,"[15, 40, 92, 10, 8]",0.5575757575757576,True
L0C171,0,171,shuffled,0,"Founding, Reconstruction And Constitutional Change Over Time","[167, 217, 170, 216, 171]",4,"[5, 3, 2, 3, 2]",0.13333333333333333,False
L0C171,0,171,gimme,0,Epidemiologic Study Design and Methods,"[155, 9, 274, 171, 72]",3,"[2, 1, 1, 97, 1]",0.9509803921568627,True
L0C182,0,182,gold,0,Independent Biology Research and Mentorship,"[186, 239, 169, 56, 182]",4,"[10, 5, 8, 90, 30]",0.2097902097902098,False
L0C182,0,182,gold,1,Independent Biology Research and Mentorship,"[239, 169, 56, 186, 182]",4,"[5, 3, 80, 10, 40]",0.2898550724637681,False
L0C182,0,182,gold,2,Independent Biology Research and Mentorship,"[239, 56, 186, 169, 182]",4,"[10, 60, 5, 5, 55]",0.4074074074074074,False
L0C182,0,182,shuffled,0,Quantum Computing And Information,"[186, 182, 56, 169, 239]",1,"[5, 3, 3, 2, 5]",0.16666666666666666,False
L0C182,0,182,gimme,0,Independent Biology Research and Mentorship,"[316, 182, 66, 326, 274]",1,"[2, 85, 2, 2, 2]",0.9139784946236559,True
L0C188,0,188,gold,0,Physician Assistant Studies Clinical Clerkships,"[115, 188, 184, 225, 224]",1,"[10, 95, 10, 20, 15]",0.6333333333333333,True
L0C188,0,188,gold,1,Physician Assistant Studies Clinical Clerkships,"[184, 115, 224, 225, 188]",4,"[10, 5, 15, 10, 95]",0.7037037037037037,True
L0C188,0,188,gold,2,Physician Assistant Studies Clinical Clerkships,"[115, 184, 188, 224, 225]",2,"[10, 8, 95, 15, 20]",0.6418918918918919,True
L0C188,0,188,shuffled,0,Quantitative Cell Dynamics And Signaling Networks,"[188, 225, 224, 184, 115]",0,"[5, 5, 5, 5, 5]",0.2,False
L0C188,0,188,gimme,0,Physician Assistant Studies Clinical Clerkships,"[54, 258, 188, 340, 95]",2,"[2, 1, 98, 1, 1]",0.9514563106796117,True
L0C190,0,190,gold,0,Artificial Intelligence In Healthcare,"[154, 215, 197, 196, 190]",4,"[55, 10, 20, 25, 95]",0.4634146341463415,True
L0C190,0,190,gold,1,Artificial Intelligence In Healthcare,"[196, 190, 215, 197, 154]",1,"[30, 90, 20, 15, 55]",0.42857142857142855,True
L0C190,0,190,gold,2,Artificial Intelligence In Healthcare,"[215, 197, 190, 196, 154]",2,"[15, 20, 90, 25, 55]",0.43902439024390244,True
L0C190,0,190,shuffled,0,Comedy Theory and Satirical Resistance,"[154, 190, 197, 215, 196]",1,"[2, 2, 10, 2, 3]",0.10526315789473684,False
L0C190,0,190,gimme,0,Artificial Intelligence In Healthcare,"[36, 190, 4, 116, 160]",1,"[0, 98, 0, 2, 5]",0.9333333333333333,True
L0C191,0,191,gold,0,Drug Development and Digital Health,"[191, 154, 172, 179, 190]",0,"[92, 20, 30, 10, 35]",0.4919786096256685,True
L0C191,0,191,gold,1,Drug Development and Digital Health,"[154, 172, 190, 179, 191]",4,"[15, 30, 25, 5, 92]",0.5508982035928144,True
L0C191,0,191,gold,2,Drug Development and Digital Health,"[172, 191, 179, 154, 190]",1,"[40, 95, 5, 20, 45]",0.4634146341463415,True
L0C191,0,191,shuffled,0,Multilevel Portuguese For Lusophone Contexts,"[191, 172, 154, 179, 190]",0,"[10, 10, 10, 10, 10]",0.2,False
L0C191,0,191,gimme,0,Drug Development and Digital Health,"[191, 203, 267, 72, 339]",0,"[98, 2, 2, 2, 2]",0.9245283018867925,True
L0C200,0,200,gold,0,General And Subspecialty Surgery Rotations,"[136, 224, 200, 92, 201]",2,"[15, 10, 92, 20, 15]",0.6052631578947368,True
L0C200,0,200,gold,1,General And Subspecialty Surgery Rotations,"[201, 92, 136, 224, 200]",4,"[5, 20, 10, 5, 90]",0.6923076923076923,True
L0C200,0,200,gold,2,General And Subspecialty Surgery Rotations,"[224, 136, 201, 200, 92]",3,"[10, 15, 5, 90, 10]",0.6923076923076923,True
L0C200,0,200,shuffled,0,Learning Sciences And Technology Design,"[201, 136, 200, 224, 92]",2,"[10, 5, 8, 5, 5]",0.24242424242424243,False
L0C200,0,200,gimme,0,General And Subspecialty Surgery Rotations,"[200, 269, 248, 104, 342]",0,"[98, 2, 2, 2, 2]",0.9245283018867925,True
L0C203,0,203,gold,0,Convex And Combinatorial Optimization Algorithms,"[96, 203, 174, 177, 204]",1,"[25, 92, 15, 30, 25]",0.4919786096256685,True
L0C203,0,203,gold,1,Convex And Combinatorial Optimization Algorithms,"[177, 96, 203, 174, 204]",2,"[15, 10, 95, 8, 12]",0.6785714285714286,True
L0C203,0,203,gold,2,Convex And Combinatorial Optimization Algorithms,"[96, 177, 203, 174, 204]",2,"[15, 10, 95, 5, 15]",0.6785714285714286,True
L0C203,0,203,shuffled,0,Community Organizing And Leadership Facilitation,"[204, 203, 174, 177, 96]",1,"[5, 5, 3, 5, 3]",0.23809523809523808,False
L0C203,0,203,gimme,0,Convex And Combinatorial Optimization Algorithms,"[38, 203, 305, 200, 304]",1,"[2, 97, 1, 1, 1]",0.9509803921568627,True
L0C211,0,211,gold,0,Sustainable Energy Transitions And Equity,"[211, 202, 212, 206, 241]",0,"[75, 45, 55, 85, 25]",0.2631578947368421,False
L0C211,0,211,gold,1,Sustainable Energy Transitions And Equity,"[202, 241, 211, 206, 212]",2,"[40, 25, 75, 80, 50]",0.2777777777777778,False
L0C211,0,211,gold,2,Sustainable Energy Transitions And Equity,"[206, 211, 212, 202, 241]",1,"[90, 65, 45, 35, 15]",0.26,False
L0C211,0,211,shuffled,0,Global Modernism And Marginalized Artists,"[212, 211, 241, 206, 202]",1,"[2, 2, 3, 2, 2]",0.18181818181818182,False
L0C211,0,211,gimme,0,Sustainable Energy Transitions And Equity,"[210, 180, 33, 211, 345]",3,"[5, 10, 0, 97, 0]",0.8660714285714286,True
L0C213,0,213,gold,0,Community Organizing And Leadership Facilitation,"[207, 213, 192, 226, 71]",1,"[15, 95, 45, 30, 2]",0.5080213903743316,True
L0C213,0,213,gold,1,Community Organizing And Leadership Facilitation,"[71, 207, 213, 192, 226]",2,"[3, 15, 97, 40, 20]",0.5542857142857143,True
L0C213,0,213,gold,2,Community Organizing And Leadership Facilitation,"[71, 226, 207, 192, 213]",4,"[5, 20, 15, 40, 95]",0.5428571428571428,True
L0C213,0,213,shuffled,0,Wonder Sublimity And Literary Imagination,"[213, 192, 207, 71, 226]",0,"[15, 10, 10, 5, 10]",0.3,True
L0C213,0,213,gimme,0,Community Organizing And Leadership Facilitation,"[41, 92, 199, 289, 213]",4,"[2, 1, 1, 2, 98]",0.9423076923076923,True
L0C228,0,228,gold,0,Scenic Lighting And Properties Design,"[228, 65, 262, 267, 259]",0,"[95, 15, 30, 10, 5]",0.6129032258064516,True
L0C228,0,228,gold,1,Scenic Lighting And Properties Design,"[267, 228, 65, 262, 259]",1,"[10, 95, 15, 40, 3]",0.5828220858895705,True
L0C228,0,228,gold,2,Scenic Lighting And Properties Design,"[262, 228, 259, 267, 65]",1,"[40, 90, 2, 10, 15]",0.5732484076433121,True
L0C228,0,228,shuffled,0,History of Early Modern Science,"[259, 228, 262, 65, 267]",1,"[5, 5, 10, 5, 5]",0.16666666666666666,False
L0C228,0,228,gimme,0,Scenic Lighting And Properties Design,"[202, 228, 352, 145, 130]",1,"[2, 97, 1, 1, 1]",0.9509803921568627,True
L0C242,0,242,gold,0,"Science, Technology, Society Studies","[241, 242, 277, 244, 258]",1,"[20, 95, 40, 35, 10]",0.475,True
L0C242,0,242,gold,1,"Science, Technology, Society Studies","[241, 244, 258, 242, 277]",3,"[25, 45, 20, 95, 40]",0.4222222222222222,True
L0C242,0,242,gold,2,"Science, Technology, Society Studies","[241, 258, 244, 277, 242]",4,"[30, 25, 45, 40, 95]",0.40425531914893614,True
L0C242,0,242,shuffled,0,General And Subspecialty Surgery Rotations,"[242, 258, 241, 277, 244]",0,"[3, 2, 2, 3, 2]",0.25,False
L0C242,0,242,gimme,0,"Science, Technology, Society Studies","[144, 149, 242, 191, 9]",2,"[10, 15, 97, 20, 0]",0.6830985915492958,True
L0C253,0,253,gold,0,Technology Entrepreneurship And Venture Creation,"[252, 251, 253, 75, 207]",2,"[65, 30, 85, 15, 25]",0.38636363636363635,True
L0C253,0,253,gold,1,Technology Entrepreneurship And Venture Creation,"[253, 252, 207, 251, 75]",0,"[92, 55, 30, 25, 15]",0.423963133640553,True
L0C253,0,253,gold,2,Technology Entrepreneurship And Venture Creation,"[253, 251, 207, 75, 252]",0,"[90, 40, 35, 15, 55]",0.3829787234042553,True
L0C253,0,253,shuffled,0,Statistical Theory and Applied Inference,"[252, 253, 75, 207, 251]",1,"[40, 10, 30, 10, 15]",0.09523809523809523,False
L0C253,0,253,gimme,0,Technology Entrepreneurship And Venture Creation,"[110, 253, 69, 113, 347]",1,"[2, 97, 0, 0, 0]",0.9797979797979798,True
L0C264,0,264,gold,0,Modern Greek Language Sequence,"[264, 15, 17, 6, 1]",0,"[95, 15, 10, 8, 10]",0.6884057971014492,True
L0C264,0,264,gold,1,Modern Greek Language Sequence,"[17, 15, 6, 264, 1]",3,"[10, 5, 8, 97, 6]",0.7698412698412699,True
L0C264,0,264,gold,2,Modern Greek Language Sequence,"[17, 6, 264, 15, 1]",2,"[5, 8, 98, 3, 5]",0.8235294117647058,True
L0C264,0,264,shuffled,0,Cognitive Science and AI,"[15, 1, 6, 264, 17]",3,"[2, 2, 2, 2, 2]",0.2,False
L0C264,0,264,gimme,0,Modern Greek Language Sequence,"[308, 202, 314, 264, 253]",3,"[0, 0, 0, 98, 0]",1.0,True
L0C265,0,265,gold,0,Digital Media Art Theory,"[257, 272, 259, 265, 271]",3,"[70, 20, 75, 65, 10]",0.2708333333333333,False
L0C265,0,265,gold,1,Digital Media Art Theory,"[259, 271, 272, 265, 257]",3,"[85, 15, 20, 65, 40]",0.28888888888888886,False
L0C265,0,265,gold,2,Digital Media Art Theory,"[257, 271, 265, 272, 259]",2,"[75, 10, 70, 20, 45]",0.3181818181818182,False
L0C265,0,265,shuffled,0,Human Rights Trafficking And Atrocity Accountability,"[259, 257, 272, 265, 271]",3,"[5, 10, 35, 8, 40]",0.08163265306122448,False
L0C265,0,265,gimme,0,Digital Media Art Theory,"[1, 199, 265, 63, 165]",2,"[0, 0, 92, 0, 0]",1.0,True
L0C270,0,270,gold,0,"Institutions, Poverty, And Global Development","[270, 285, 286, 234, 318]",0,"[95, 20, 40, 30, 10]",0.48717948717948717,True
L0C270,0,270,gold,1,"Institutions, Poverty, And Global Development","[318, 286, 270, 234, 285]",2,"[15, 20, 95, 30, 15]",0.5428571428571428,True
L0C270,0,270,gold,2,"Institutions, Poverty, And Global Development","[318, 285, 270, 234, 286]",2,"[15, 20, 95, 40, 30]",0.475,True
L0C270,0,270,shuffled,0,Marine Organismal Physiology and Conservation,"[270, 318, 286, 285, 234]",0,"[5, 3, 8, 5, 5]",0.19230769230769232,False
L0C270,0,270,gimme,0,"Institutions, Poverty, And Global Development","[46, 70, 270, 135, 53]",2,"[0, 2, 98, 5, 0]",0.9333333333333333,True
L0C276,0,276,gold,0,PWR Rhetorics Of Witness And Identity,"[288, 287, 276, 229, 260]",2,"[75, 50, 88, 5, 40]",0.34108527131782945,True
L0C276,0,276,gold,1,PWR Rhetorics Of Witness And Identity,"[276, 260, 229, 288, 287]",0,"[85, 30, 5, 75, 40]",0.3617021276595745,True
L0C276,0,276,gold,2,PWR Rhetorics Of Witness And Identity,"[287, 276, 288, 229, 260]",1,"[40, 75, 80, 5, 30]",0.32608695652173914,False
L0C276,0,276,shuffled,0,Social Entrepreneurship And Strategic Philanthropy,"[229, 288, 276, 260, 287]",2,"[30, 10, 40, 15, 10]",0.38095238095238093,True
L0C276,0,276,gimme,0,PWR Rhetorics Of Witness And Identity,"[277, 251, 160, 181, 276]",4,"[2, 1, 1, 3, 97]",0.9326923076923077,True
L0C294,0,294,gold,0,Youth Education Law Advocacy,"[334, 309, 306, 294, 335]",3,"[10, 15, 15, 98, 5]",0.6853146853146853,True
L0C294,0,294,gold,1,Youth Education Law Advocacy,"[334, 309, 294, 306, 335]",2,"[5, 10, 98, 15, 10]",0.7101449275362319,True
L0C294,0,294,gold,2,Youth Education Law Advocacy,"[306, 309, 335, 334, 294]",4,"[10, 5, 8, 3, 98]",0.7903225806451613,True
L0C294,0,294,shuffled,0,Historical Methods and Research Practice,"[306, 309, 335, 294, 334]",3,"[15, 10, 55, 5, 15]",0.05,False
L0C294,0,294,gimme,0,Youth Education Law Advocacy,"[111, 294, 54, 214, 297]",1,"[0, 98, 0, 0, 0]",1.0,True
L0C300,0,300,gold,0,Human Rights Trafficking And Atrocity Accountability,"[280, 300, 323, 299, 350]",1,"[60, 75, 15, 30, 5]",0.40540540540540543,True
L0C300,0,300,gold,1,Human Rights Trafficking And Atrocity Accountability,"[299, 323, 300, 350, 280]",2,"[40, 15, 75, 5, 65]",0.375,True
L0C300,0,300,gold,2,Human Rights Trafficking And Atrocity Accountability,"[323, 280, 299, 350, 300]",4,"[30, 60, 45, 5, 90]",0.391304347826087,True
L0C300,0,300,shuffled,0,Audition-Based Instrument Class And Lesson Signups,"[280, 300, 299, 350, 323]",1,"[3, 3, 3, 3, 3]",0.2,False
L0C300,0,300,gimme,0,Human Rights Trafficking And Atrocity Accountability,"[212, 101, 44, 300, 34]",3,"[2, 0, 0, 98, 0]",0.98,True
L0C302,0,302,gold,0,Warfare Society And Asia-Pacific Historical Transformation,"[315, 310, 296, 279, 302]",4,"[15, 20, 55, 60, 45]",0.23076923076923078,False
L0C302,0,302,gold,1,Warfare Society And Asia-Pacific Historical Transformation,"[315, 310, 296, 302, 279]",3,"[20, 30, 55, 45, 60]",0.21428571428571427,False
L0C302,0,302,gold,2,Warfare Society And Asia-Pacific Historical Transformation,"[296, 310, 302, 315, 279]",2,"[60, 15, 25, 10, 45]",0.16129032258064516,False
